dist_pct,wall_oi,wall_oi_log,oi_concentration,oi_change_ratio,wall_chg_oi,oi_building,strike_pcr,pcr,vol_pcr,max_pain_dist,wall_to_maxpain,wall_iv,iv_vs_atm,depth_ratio,support_depth_log,oi_skew,wall_vol,wall_vol_log,wall_vol_ratio,competing_walls,premium_pct,premium,net_oi_bias,total_oi_log,n_strikes,wall_type,spot,strike,date,held_1d,breach_pct_1d,held_2d,breach_pct_2d,held_3d,breach_pct_3d,held_5d,breach_pct_5d,premium_pnl,premium_pnl_pct
0.647,4253300,15.263,7.376,-0.1252,-532650,0,0.064,0.821,1.033,0.581,1.227,1.0,0.438,2.954,16.347,0.898,1945787,14.481,2.247,5,0.0006,0.1,-0.1671,17.87,21,0,16294.599609375,16400,2021-08-05,1,0.0,1,0.0,1,0.0,1,0.0,-27.3,-24818.18
1.467,3074750,14.939,7.173,0.2337,718550,1,5.939,0.848,0.897,-0.073,1.54,2.54,0.233,2.075,15.669,0.79,506289,13.135,2.053,6,0.1299,21.1,-0.3295,17.574,21,1,16238.2001953125,16000,2021-08-06,1,0.0,1,0.0,1,0.0,1,0.0,10.75,50.92
0.381,3480350,15.063,8.119,0.198,688950,1,0.568,0.848,0.897,-0.073,0.308,6.89,0.633,2.649,16.037,0.79,1268528,14.053,5.143,5,0.3526,57.25,-0.3295,17.574,21,0,16238.2001953125,16300,2021-08-06,1,0.0,1,0.0,1,0.0,0,1.411,9.05,15.81
0.358,3692400,15.122,6.913,0.2081,768450,1,2.206,0.82,0.943,0.051,0.308,8.11,0.66,2.615,16.083,0.878,1528822,14.24,4.285,6,0.2934,47.7,-0.1677,17.794,21,1,16258.25,16200,2021-08-09,1,0.0,1,0.0,1,0.0,1,0.0,19.15,40.14
0.872,3689100,15.121,6.906,0.1549,571450,1,0.076,0.82,0.943,0.051,0.923,3.37,0.274,3.057,16.238,0.878,975162,13.79,2.733,6,0.1218,19.8,-0.1677,17.794,21,0,16258.25,16400,2021-08-09,1,0.0,1,0.0,1,0.0,0,1.003,3.8,19.18
0.492,4942850,15.413,7.485,0.253,1250450,1,2.671,0.754,0.863,0.185,0.307,5.94,0.472,2.428,16.301,0.74,1713981,14.354,3.484,5,0.1754,28.55,-0.1088,18.006,21,1,16280.099609375,16200,2021-08-10,1,0.0,1,0.0,1,0.0,1,0.0,12.3,43.07
0.736,4870050,15.399,7.375,0.2425,1180950,1,0.071,0.754,0.863,0.185,0.921,3.33,0.265,3.167,16.552,0.74,1744983,14.372,3.547,8,0.0983,16.0,-0.1088,18.006,21,0,16280.099609375,16400,2021-08-10,1,0.0,1,0.0,0,0.793,0,1.318,9.05,56.53
0.505,4523600,15.325,6.757,-0.0927,-419250,0,2.507,0.717,0.918,0.198,0.307,4.78,0.363,2.819,16.361,0.746,2722447,14.817,4.617,6,0.0998,16.25,-1.0,18.019,21,1,16282.25,16200,2021-08-11,1,0.0,1,0.0,1,0.0,1,0.0,16.0,98.4
0.723,5638950,15.545,8.423,0.1364,768900,1,0.052,0.717,0.918,0.198,0.921,2.04,0.155,2.968,16.633,0.746,1578327,14.272,2.677,5,0.0427,6.95,-1.0,18.019,21,0,16282.25,16400,2021-08-11,1,0.0,0,0.793,0,1.001,0,1.318,6.55,94.11
0.394,6490000,15.686,10.59,0.685,4445850,1,1.733,1.181,1.053,0.088,0.306,1.0,0.312,2.643,16.658,1.736,4280337,15.27,5.809,4,0.0024,0.4,1.0,17.931,21,1,16364.400390625,16300,2021-08-12,1,0.0,1,0.0,1,0.0,1,0.0,-27.2,-6634.15
0.829,3466700,15.059,5.657,-0.3763,-1304500,0,0.109,1.181,1.053,0.088,0.917,1.0,0.312,2.74,16.067,1.736,779789,13.567,1.058,8,0.0006,0.1,1.0,17.931,21,0,16364.400390625,16500,2021-08-12,0,0.178,0,0.385,0,0.7,0,0.7,-91.55,-83227.27
0.781,6060200,15.617,9.933,0.8629,5229100,1,2.15,1.082,0.75,0.479,0.302,5.76,0.524,2.597,16.571,1.63,1206987,14.004,3.688,3,0.2686,44.4,0.157,17.927,21,1,16529.099609375,16400,2021-08-13,1,0.0,1,0.0,1,0.0,1,0.0,20.0,45.03
