date,category,buy_value,sell_value,net_value
2014-06-02,FII_estimate,0.0,11.639115991048817,-11.639115991048817
2014-06-03,FII_estimate,18.419681268749503,0.0,18.419681268749503
2014-06-04,FII_estimate,15.816937398048694,0.0,15.816937398048694
2014-06-05,FII_estimate,58.03068552217651,0.0,58.03068552217651
2014-06-06,FII_estimate,91.6804733297867,0.0,91.6804733297867
2014-06-09,FII_estimate,78.59659918932115,0.0,78.59659918932115
2014-06-10,FII_estimate,63.5943256490601,0.0,63.5943256490601
2014-06-11,FII_estimate,63.227305063785614,0.0,63.227305063785614
2014-06-12,FII_estimate,45.58123158077022,0.0,45.58123158077022
2014-06-13,FII_estimate,0.0,12.728100620405627,-12.728100620405627
2014-06-16,FII_estimate,0.0,40.688575420452665,-40.688575420452665
2014-06-17,FII_estimate,0.0,21.076981866360303,-21.076981866360303
2014-06-18,FII_estimate,0.0,37.81497030301605,-37.81497030301605
2014-06-19,FII_estimate,0.0,36.382996500694865,-36.382996500694865
2014-06-20,FII_estimate,0.0,22.56787576427775,-22.56787576427775
2014-06-23,FII_estimate,0.0,18.253083428740197,-18.253083428740197
2014-06-24,FII_estimate,0.0,14.397985707608077,-14.397985707608077
2014-06-25,FII_estimate,5.237088068714599,0.0,5.237088068714599
2014-06-26,FII_estimate,0.0,14.74347827061006,-14.74347827061006
2014-06-27,FII_estimate,0.8614398480432162,0.0,0.8614398480432162
2014-06-30,FII_estimate,33.82756859167601,0.0,33.82756859167601
2014-07-01,FII_estimate,17.665862742135555,0.0,17.665862742135555
2014-07-02,FII_estimate,43.897339930104366,0.0,43.897339930104366
2014-07-03,FII_estimate,67.12027627505368,0.0,67.12027627505368
2014-07-04,FII_estimate,71.80521757483328,0.0,71.80521757483328
2014-07-07,FII_estimate,51.15190118109304,0.0,51.15190118109304
2014-07-08,FII_estimate,0.0,2.075512132791664,-2.075512132791664
2014-07-09,FII_estimate,0.0,31.488606290567372,-31.488606290567372
2014-07-10,FII_estimate,0.0,43.320263431045,-43.320263431045
2014-07-11,FII_estimate,0.0,85.77786362241113,-85.77786362241113
2014-07-14,FII_estimate,0.0,92.93819311052899,-92.93819311052899
2014-07-15,FII_estimate,0.0,27.06071207862948,-27.06071207862948
2014-07-16,FII_estimate,3.7680625122447085,0.0,3.7680625122447085
2014-07-17,FII_estimate,14.189800377830466,0.0,14.189800377830466
2014-07-18,FII_estimate,47.450514696252505,0.0,47.450514696252505
2014-07-21,FII_estimate,57.86148473164144,0.0,57.86148473164144
2014-07-22,FII_estimate,60.17968591737211,0.0,60.17968591737211
2014-07-23,FII_estimate,45.743021264752166,0.0,45.743021264752166
2014-07-24,FII_estimate,52.93805098087146,0.0,52.93805098087146
2014-07-25,FII_estimate,41.859057296654186,0.0,41.859057296654186
2014-07-28,FII_estimate,20.646207231982196,0.0,20.646207231982196
2014-07-30,FII_estimate,9.647384411495382,0.0,9.647384411495382
2014-07-31,FII_estimate,0.0,21.550750848219884,-21.550750848219884
2014-08-01,FII_estimate,0.0,73.82848178195654,-73.82848178195654
2014-08-04,FII_estimate,0.0,46.118620457929346,-46.118620457929346
2014-08-05,FII_estimate,0.0,14.11251717963168,-14.11251717963168
2014-08-06,FII_estimate,0.0,43.6484875689883,-43.6484875689883
2014-08-07,FII_estimate,0.0,33.80341794278695,-33.80341794278695
2014-08-08,FII_estimate,0.0,16.311268504054613,-16.311268504054613
2014-08-11,FII_estimate,0.0,13.624288259537758,-13.624288259537758
2014-08-12,FII_estimate,0.0,8.219622666774558,-8.219622666774558
2014-08-13,FII_estimate,11.677960812430891,0.0,11.677960812430891
2014-08-14,FII_estimate,40.06802374864394,0.0,40.06802374864394
2014-08-18,FII_estimate,87.18967371382058,0.0,87.18967371382058
2014-08-19,FII_estimate,75.52053111941038,0.0,75.52053111941038
